City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
92,Batagay,67.6333,134.6333,26.17,94,99,4.79,RU,overcast clouds,2021-04-25 21:01:53
93,Bredasdorp,-34.5322,20.0403,53.6,94,100,1.74,ZA,overcast clouds,2021-04-25 21:06:09
94,Kimberley,-28.7323,24.7623,55.4,50,97,4.61,ZA,overcast clouds,2021-04-25 21:01:59
95,East London,-33.0153,27.9116,68.02,73,100,10.27,ZA,overcast clouds,2021-04-25 21:06:09
96,Baltasi,56.3462,50.2062,37.9,74,100,21.47,RU,overcast clouds,2021-04-25 21:06:10
97,Kodiak,57.79,-152.4072,42.8,75,90,9.22,US,overcast clouds,2021-04-25 21:05:25
98,Mar Del Plata,-38.0023,-57.5575,63.0,67,40,11.5,AR,scattered clouds,2021-04-25 21:02:05
99,Oranjestad,12.524,-70.027,84.2,65,20,23.02,AW,few clouds,2021-04-25 21:06:11
100,Peleduy,59.6289,112.7406,33.08,95,100,11.23,RU,light snow,2021-04-25 21:06:11
101,Zhigansk,66.7697,123.3711,32.34,99,100,8.46,RU,light snow,2021-04-25 21:06:12
102,Vaini,-21.2,-175.2,75.2,100,75,5.75,TO,light rain,2021-04-25 21:06:12
103,Butaritari,3.0707,172.7902,82.6,75,16,12.39,KI,few clouds,2021-04-25 21:06:13
104,Kuusamo,65.9667,29.1833,32.0,86,90,9.22,FI,light snow,2021-04-25 21:06:13
105,Chernyshevskiy,63.0128,112.4714,27.19,97,100,4.68,RU,light snow,2021-04-25 21:06:14
106,Port-Gentil,-0.7193,8.7815,82.4,78,20,4.61,GA,few clouds,2021-04-25 21:06:14
107,Molchanovo,57.5817,83.7692,34.63,96,100,3.47,RU,overcast clouds,2021-04-25 21:06:14
108,Tieling,42.2931,123.8414,52.0,56,100,4.32,CN,overcast clouds,2021-04-25 21:06:15
109,Dingle,10.9995,122.6711,75.56,86,28,3.27,PH,light rain,2021-04-25 21:06:15
110,Bingen,48.1113,9.2724,51.8,49,20,9.22,DE,few clouds,2021-04-25 21:06:16
111,Bagdarin,54.4333,113.6,35.22,98,100,5.39,RU,snow,2021-04-25 21:06:16
112,Loiza,18.4313,-65.8802,84.2,61,40,20.71,PR,scattered clouds,2021-04-25 21:06:17
113,Mount Gambier,-37.8333,140.7667,51.8,93,90,8.05,AU,overcast clouds,2021-04-25 21:06:17
114,Goundam,16.4145,-3.6708,89.98,9,29,1.28,ML,scattered clouds,2021-04-25 21:06:17
115,Morden,49.1919,-98.1014,48.2,43,100,12.66,CA,overcast clouds,2021-04-25 21:02:33
116,Araouane,18.9048,-3.5265,93.78,11,64,6.96,ML,broken clouds,2021-04-25 21:03:22
117,Milkovo,54.7167,158.6167,34.38,86,99,2.21,RU,overcast clouds,2021-04-25 21:06:18
118,Rawson,-43.3002,-65.1023,64.8,47,73,22.08,AR,broken clouds,2021-04-25 21:03:17
119,Inirida,3.8653,-67.9239,81.7,80,91,2.91,CO,overcast clouds,2021-04-25 21:06:19
120,Nikolskoye,59.7035,30.7861,39.0,93,90,6.71,RU,overcast clouds,2021-04-25 21:02:13
121,Sesimbra,38.4445,-9.1015,64.4,72,20,6.91,PT,few clouds,2021-04-25 21:06:19
122,Jaisalmer,26.9147,70.9181,87.64,10,0,7.31,IN,clear sky,2021-04-25 21:06:20
123,Mendi,-6.1761,143.6513,55.62,97,100,2.3,PG,overcast clouds,2021-04-25 21:06:20
124,Kulykiv,50.3142,24.8176,39.99,58,100,1.99,UA,overcast clouds,2021-04-25 21:06:20
125,Mataram,-8.5833,116.1167,73.4,100,40,3.31,ID,scattered clouds,2021-04-25 21:06:21
126,Vostok,46.4856,135.8833,27.14,52,10,3.98,RU,clear sky,2021-04-25 21:06:21
127,Chunhuhub,19.55,-88.6833,97.72,28,7,5.03,MX,clear sky,2021-04-25 21:06:22
128,Khatanga,71.9667,102.5,3.81,90,85,13.18,RU,overcast clouds,2021-04-25 21:05:05
129,Hobyo,5.3505,48.5268,83.98,64,56,10.18,SO,broken clouds,2021-04-25 21:06:02
130,Egvekinot,66.3167,-179.1667,26.67,84,16,0.72,RU,few clouds,2021-04-25 21:06:22
131,Port Alfred,-33.5906,26.891,70.5,62,100,13.09,ZA,overcast clouds,2021-04-25 21:06:23
132,Kapaa,22.0752,-159.319,80.6,61,40,16.11,US,scattered clouds,2021-04-25 21:02:46
133,Otterup,55.5153,10.3976,44.01,52,0,9.01,DK,clear sky,2021-04-25 21:06:23
134,Burgersdorp,-30.9977,26.3286,57.29,36,91,3.04,ZA,overcast clouds,2021-04-25 21:06:24
135,Siparia,10.1333,-61.5,84.99,75,91,1.99,TT,overcast clouds,2021-04-25 21:06:24
136,Tuktoyaktuk,69.4541,-133.0374,12.2,85,90,10.36,CA,light snow,2021-04-25 21:06:24
137,Gornyak,50.9942,81.4661,40.68,59,84,7.47,RU,broken clouds,2021-04-25 21:06:25
138,Asfi,32.2994,-9.2372,63.91,82,7,21.05,MA,clear sky,2021-04-25 21:06:25
139,Mehamn,71.0357,27.8492,33.8,75,75,13.8,NO,light snow,2021-04-25 21:06:26
140,Changqing,36.5575,116.7272,54.0,87,100,2.68,CN,overcast clouds,2021-04-25 21:06:26
141,Jonava,55.0833,24.2833,32.0,74,0,8.05,LT,clear sky,2021-04-25 21:06:27
142,Leningradskiy,69.3833,178.4167,23.09,85,100,2.33,RU,overcast clouds,2021-04-25 21:06:27
143,Ponta Do Sol,32.6667,-17.1,59.0,86,54,5.01,PT,broken clouds,2021-04-25 21:06:27
144,Mahebourg,-20.4081,57.7,75.2,94,75,12.66,MU,light rain,2021-04-25 21:01:47
145,Guymon,36.6828,-101.4816,89.6,10,1,23.02,US,clear sky,2021-04-25 21:06:28
146,Kota Bahru,6.1333,102.2386,77.0,94,20,2.3,MY,few clouds,2021-04-25 21:06:28
147,Lastoursville,-0.8143,12.7287,75.43,88,56,1.92,GA,broken clouds,2021-04-25 21:06:29
148,Ahuimanu,21.4447,-157.8378,82.4,65,75,13.8,US,broken clouds,2021-04-25 21:06:29
149,Grand-Santi,4.25,-54.3833,77.43,96,70,3.53,GF,heavy intensity rain,2021-04-25 21:06:29
150,Rafraf,37.1904,10.1837,62.6,77,20,11.5,TN,few clouds,2021-04-25 21:06:30
151,Muros,42.7762,-9.0603,59.0,89,90,1.01,ES,overcast clouds,2021-04-25 21:06:30
152,Villa Bruzual,9.3328,-69.1208,96.71,30,81,2.51,VE,broken clouds,2021-04-25 21:06:31
153,Kailua,21.4022,-157.7394,82.4,65,75,13.8,US,broken clouds,2021-04-25 21:06:31
154,Flinders,-34.5833,150.8552,50.0,88,11,1.01,AU,few clouds,2021-04-25 21:06:31
155,Xuddur,4.1213,43.8894,77.11,71,95,11.77,SO,overcast clouds,2021-04-25 21:06:32
156,Portland,45.5234,-122.6762,57.99,51,75,6.91,US,broken clouds,2021-04-25 21:01:58
157,Hualmay,-11.0964,-77.6139,70.34,77,16,8.84,PE,few clouds,2021-04-25 21:06:32
158,Saldanha,-33.0117,17.9442,60.8,88,92,5.75,ZA,overcast clouds,2021-04-25 21:06:33
159,Hambantota,6.1241,81.1185,79.21,81,4,6.8,LK,clear sky,2021-04-25 21:06:33
160,Tasiilaq,65.6145,-37.6368,37.4,81,75,19.57,GL,light rain,2021-04-25 21:06:34
161,Provideniya,64.3833,-173.3,35.6,69,0,4.47,RU,clear sky,2021-04-25 21:06:34
162,Lipari,38.4674,14.954,55.99,77,5,3.0,IT,clear sky,2021-04-25 21:06:35
163,Marawi,7.9986,124.2928,77.0,91,100,3.0,PH,overcast clouds,2021-04-25 21:06:35
164,Itamaraju,-17.0392,-39.5311,74.64,85,24,6.24,BR,few clouds,2021-04-25 21:01:49
165,Northam,51.0333,-4.2167,51.01,70,7,11.01,GB,clear sky,2021-04-25 21:06:36
166,Vardo,70.3705,31.1107,33.8,69,20,13.8,NO,few clouds,2021-04-25 21:06:36
167,Kushima,31.4583,131.2333,54.1,81,26,7.25,JP,scattered clouds,2021-04-25 21:06:37
168,Santa Maria,-29.6842,-53.8069,69.8,60,75,3.44,BR,broken clouds,2021-04-25 21:06:37
169,Yellowknife,62.456,-114.3525,12.0,66,90,10.36,CA,light snow,2021-04-25 21:06:38
170,Dembi Dolo,8.5333,34.8,59.72,89,100,2.06,ET,light rain,2021-04-25 21:06:38
171,Manokwari,-0.8667,134.0833,78.55,82,100,10.51,ID,overcast clouds,2021-04-25 21:06:39
172,Policoro,40.2115,16.6726,50.0,84,19,2.55,IT,few clouds,2021-04-25 21:06:39
173,Mareeba,-17.0,145.4333,75.2,94,90,8.05,AU,overcast clouds,2021-04-25 21:03:42
174,Bay Roberts,47.5999,-53.2648,51.01,100,6,5.01,CA,clear sky,2021-04-25 21:06:40
175,Berlevag,70.8578,29.0864,32.0,69,75,10.36,NO,broken clouds,2021-04-25 21:06:40
176,Chapais,49.7834,-74.8492,44.6,93,90,5.75,CA,mist,2021-04-25 21:06:31
177,Salalah,17.0151,54.0924,84.2,70,40,8.05,OM,scattered clouds,2021-04-25 21:06:41
178,Aviles,43.5547,-5.9248,59.0,100,75,10.36,ES,light rain,2021-04-25 21:06:41
179,Saint-Georges,12.0564,-61.7485,75.2,88,20,23.02,GD,few clouds,2021-04-25 21:06:42
180,Turukhansk,65.8167,87.9833,4.17,97,25,5.3,RU,scattered clouds,2021-04-25 21:06:42
181,Dhidhdhoo,6.8833,73.1,83.75,72,14,5.91,MV,few clouds,2021-04-25 21:06:43
182,Puro,12.4841,123.3827,78.39,80,34,9.69,PH,scattered clouds,2021-04-25 21:06:43
183,Sao Filipe,14.8961,-24.4956,72.91,70,68,10.96,CV,broken clouds,2021-04-25 21:05:32
184,Ayorou,14.7308,0.9174,89.71,10,93,1.54,NE,overcast clouds,2021-04-25 21:06:44
185,Lorengau,-2.0226,147.2712,79.93,82,56,5.66,PG,broken clouds,2021-04-25 21:06:44
186,Great Yarmouth,52.6083,1.7305,43.0,65,90,12.66,GB,overcast clouds,2021-04-25 21:02:33
187,Gejiu,23.306,103.1635,57.6,93,69,3.85,CN,broken clouds,2021-04-25 21:06:45
188,Ust-Uda,54.1742,103.0304,29.08,90,59,4.5,RU,broken clouds,2021-04-25 21:06:45
189,Palmas,-10.2128,-48.3603,75.2,88,75,5.75,BR,broken clouds,2021-04-25 21:06:46
190,Omboue,-1.5746,9.2618,79.57,86,1,5.14,GA,clear sky,2021-04-25 21:06:46
191,Vila Velha,-20.3297,-40.2925,78.8,83,0,5.75,BR,clear sky,2021-04-25 21:06:47
192,Dali,25.7,100.1833,55.58,50,0,4.7,CN,clear sky,2021-04-25 21:06:47
193,Pangkalanbuun,-2.6833,111.6167,74.1,91,91,1.88,ID,overcast clouds,2021-04-25 21:06:47
194,Olafsvik,64.8945,-23.7142,42.6,86,13,12.88,IS,few clouds,2021-04-25 21:06:48
195,Coquimbo,-29.9533,-71.3436,60.8,77,0,11.5,CL,clear sky,2021-04-25 21:03:16
196,Souillac,-20.5167,57.5167,75.2,94,75,12.66,MU,light rain,2021-04-25 21:06:48
197,Sisimiut,66.9395,-53.6735,40.01,76,98,4.43,GL,overcast clouds,2021-04-25 21:02:45
198,Itoman,26.1247,127.6694,66.2,77,20,8.05,JP,few clouds,2021-04-25 21:06:49
199,Makakilo City,21.3469,-158.0858,82.4,51,90,11.5,US,overcast clouds,2021-04-25 21:06:11
